Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
5000,1388,"FD01DISP","D","County Fire/EMS Dispatch","Fire Dispatch","Adams County (01)"
5001,1389,"FD01TAC04","D","County Fire Tac 4","Fire-Tac","Adams County (01)"
5002,138a,"SC01EMER","D","Countywide School Emergency","Emergency Ops","Adams County (01)"
5004,138c,"FD01TAC01","D","County Fire Tac 1","Fire-Tac","Adams County (01)"
5005,138d,"01FIRE18","D","West Union Fire Page","Fire Dispatch","Adams County (01)"
5006,138e,"FD01TAC02","D","County Fire Tac 2","Fire-Tac","Adams County (01)"
5008,1390,"FD01FIREPOL","D","County Fire-Police Interop","Interop","Adams County (01)"
5009,1391,"01EMS100","D","County EMS Peebles Page","EMS Dispatch","Adams County (01)"
5010,1392,"FD01TAC03","D","County Fire Tac 3","Fire-Tac","Adams County (01)"
5011,1393,"01EMS200","D","County EMS Seaman Page","EMS Dispatch","Adams County (01)"
5012,1394,"01EMS300","D","County EMS Winchester Page","EMS Dispatch","Adams County (01)"
5013,1395,"01EMS218","D","West Union EMS Page","EMS Dispatch","Adams County (01)"
5014,1396,"01FIRE11","D","Green Township Fire Page","Fire Dispatch","Adams County (01)"
5015,1397,"01FIRE12","D","Blue Creek Fire Page","Fire Dispatch","Adams County (01)"
5016,1398,"01EMS10","D","Manchester EMS Page","EMS Dispatch","Adams County (01)"
5017,1399,"01FIRE15","D","Peebles Fire Page","Fire Dispatch","Adams County (01)"
5018,139a,"01FIRE16","D","Seaman Fire Page","Fire Dispatch","Adams County (01)"
5019,139b,"01FIRE17","D","Wayne Township Fire Page","Fire Dispatch","Adams County (01)"
5020,139c,"01FIRE19","D","Winchester Fire Page","Fire Dispatch","Adams County (01)"
5021,139d,"01FIRE20","D","Franklin Township Fire Page","Fire Dispatch","Adams County (01)"
5206,1456,"01EMS400","D","West Union EMS Dispatch Station 400","EMS Dispatch","Adams County (01)"
5207,1457,"OVSD BUS","D","Ohio Valley School Disrict - Transportation","Schools","Adams County (01)"
5505,1581,"LACP","D","Lima-Allen County Paramedics (LACP)","EMS Dispatch","Allen County (02)"
5508,1584,"LIMA FIRE","D","Lima Fire","Fire Dispatch","Allen County (02)"
5509,1585,"02-EAST","D","Fire East - Dispatch/Operations ","Fire Dispatch","Allen County (02)"
5511,1587,"LIMA PD","D","Lima Police Dispatch","Law Dispatch","Allen County (02)"
5512,1588,"02-OPS1","D","Common - Operations 1","Interop","Allen County (02)"
5514,158a,"02LF-TRANS","D","Lifeflight Transport","EMS Dispatch","Allen County (02)"
5515,158b,"02-OPS2","D","Common - Operations 2","Interop","Allen County (02)"
5517,158d,"LPD JAIL","D","Lima Police Corrections","Corrections","Allen County (02)"
5518,158e,"02-OPS3","D","Common - Operations 3","Interop","Allen County (02)"
5520,1590,"02 ENC1","DE","Operations - encrypted","Multi-Tac","Allen County (02)"
5521,1591,"02-WEST","D","Fire West - Dispatch/Operations","Fire Dispatch","Allen County (02)"
5522,1592,"DELPHOS FD","D","Delphos Fire/EMS","Fire-Tac","Allen County (02)"
5523,1593,"LFD TAC","D","Lima Fire Tactical","Fire-Tac","Allen County (02)"
5525,1595,"02 LZOPS 1","D","Landing Zone operations ch. 1","Fire-Tac","Allen County (02)"
5529,1599,"02 LZOPS 2","D","Landing Zone operations ch. 2","Fire-Tac","Allen County (02)"
5530,159a,"02-OPS4","D","Common - Operations 4","Interop","Allen County (02)"
5532,159c,"02SHWTWP FD","D","Shawnee Twp Fire","Fire Dispatch","Allen County (02)"
5534,159e,"02-OPS5","D","Common - Operations 5","Interop","Allen County (02)"
5536,15a0,"SPENCER EMS","D","Spencerville EMS","EMS Dispatch","Allen County (02)"
5538,15a2,"02SHWTWP PD","D","Shawnee Twp Police","Law Dispatch","Allen County (02)"
5542,15a6,"SC02EMER","D","Countywide School Emergency ","Emergency Ops","Allen County (02)"
5544,15a8,"02BPD EVT","D","Bluffton Police Special Events","Law Talk","Allen County (02)"
